Frame: 77 | Arm: RIGHT | Visibility: 0.29 | Angle: 137.34 | State: waiting | Reps: 0
Frame: 79 | Arm: RIGHT | Visibility: 0.26 | Angle: 157.25 | State: waiting | Reps: 0
Frame: 83 | Arm: RIGHT | Visibility: 0.28 | Angle: 163.59 | State: waiting | Reps: 0
Frame: 84 | Arm: RIGHT | Visibility: 0.30 | Angle: 132.35 | State: waiting | Reps: 0
Frame: 95 | Arm: RIGHT | Visibility: 0.43 | Angle: 140.01 | State: waiting | Reps: 0
Frame: 104 | Arm: RIGHT | Visibility: 0.42 | Angle: 120.66 | State: waiting | Reps: 0
Frame: 105 | Arm: RIGHT | Visibility: 0.40 | Angle: 109.18 | State: waiting | Reps: 0
Frame: 106 | Arm: RIGHT | Visibility: 0.39 | Angle: 93.45 | State: waiting | Reps: 0
Frame: 107 | Arm: RIGHT | Visibility: 0.41 | Angle: 114.65 | State: waiting | Reps: 0
Frame: 108 | Arm: RIGHT | Visibility: 0.39 | Angle: 109.85 | State: waiting | Reps: 0
Frame: 109 | Arm: RIGHT | Visibility: 0.36 | Angle: 137.68 | State: waiting | Reps: 0
Frame: 110 | Arm: RIGHT | Visibility: 0.33 | Angle: 147.98 | State: waiting | Reps: 0
Frame: 115 | Arm: RIGHT | Visibility: 0.25 | Angle: 136.33 | State: waiting | Reps: 0
Frame: 116 | Arm: RIGHT | Visibility: 0.24 | Angle: 136.72 | State: waiting | Reps: 0
Frame: 117 | Arm: RIGHT | Visibility: 0.22 | Angle: 138.47 | State: waiting | Reps: 0
Frame: 118 | Arm: RIGHT | Visibility: 0.21 | Angle: 134.45 | State: waiting | Reps: 0
Frame: 119 | Arm: RIGHT | Visibility: 0.19 | Angle: 134.54 | State: waiting | Reps: 0
Frame: 154 | Arm: RIGHT | Visibility: 0.19 | Angle: 144.36 | State: waiting | Reps: 0
Frame: 155 | Arm: RIGHT | Visibility: 0.18 | Angle: 142.9 | State: waiting | Reps: 0
Frame: 231 | Arm: RIGHT | Visibility: 0.30 | Angle: 144.38 | State: waiting | Reps: 0
Frame: 233 | Arm: RIGHT | Visibility: 0.33 | Angle: 145.48 | State: waiting | Reps: 0
Frame: 252 | Arm: RIGHT | Visibility: 0.39 | Angle: 119.37 | State: waiting | Reps: 0
Frame: 256 | Arm: RIGHT | Visibility: 0.31 | Angle: 109.2 | State: waiting | Reps: 0
Frame: 257 | Arm: RIGHT | Visibility: 0.34 | Angle: 88.06 | State: waiting | Reps: 0
Frame: 258 | Arm: RIGHT | Visibility: 0.33 | Angle: 90.03 | State: waiting | Reps: 0
Frame: 259 | Arm: RIGHT | Visibility: 0.32 | Angle: 86.44 | State: waiting | Reps: 0
Frame: 260 | Arm: RIGHT | Visibility: 0.33 | Angle: 97.46 | State: waiting | Reps: 0
Frame: 261 | Arm: RIGHT | Visibility: 0.31 | Angle: 109.09 | State: waiting | Reps: 0
Frame: 262 | Arm: RIGHT | Visibility: 0.29 | Angle: 115.96 | State: waiting | Reps: 0
Frame: 263 | Arm: RIGHT | Visibility: 0.27 | Angle: 108.57 | State: waiting | Reps: 0
Frame: 264 | Arm: RIGHT | Visibility: 0.26 | Angle: 112.72 | State: waiting | Reps: 0
Frame: 265 | Arm: RIGHT | Visibility: 0.24 | Angle: 100.54 | State: waiting | Reps: 0
Frame: 266 | Arm: RIGHT | Visibility: 0.23 | Angle: 89.36 | State: waiting | Reps: 0
Frame: 267 | Arm: RIGHT | Visibility: 0.22 | Angle: 86.36 | State: waiting | Reps: 0
Frame: 268 | Arm: RIGHT | Visibility: 0.20 | Angle: 70.32 | State: waiting | Reps: 0
Frame: 269 | Arm: RIGHT | Visibility: 0.18 | Angle: 48.76 | State: waiting | Reps: 0
Frame: 361 | Arm: RIGHT | Visibility: 0.23 | Angle: 77.29 | State: waiting | Reps: 0
Frame: 362 | Arm: RIGHT | Visibility: 0.24 | Angle: 89.88 | State: waiting | Reps: 0
Frame: 368 | Arm: RIGHT | Visibility: 0.30 | Angle: 87.07 | State: waiting | Reps: 0
Frame: 369 | Arm: RIGHT | Visibility: 0.34 | Angle: 85.59 | State: waiting | Reps: 0
Frame: 370 | Arm: RIGHT | Visibility: 0.37 | Angle: 81.19 | State: waiting | Reps: 0
Frame: 376 | Arm: RIGHT | Visibility: 0.57 | Angle: 59.01 | State: waiting | Reps: 0
Frame: 377 | Arm: RIGHT | Visibility: 0.58 | Angle: 46.67 | State: waiting | Reps: 0
Frame: 378 | Arm: RIGHT | Visibility: 0.58 | Angle: 58.04 | State: waiting | Reps: 0
Frame: 380 | Arm: RIGHT | Visibility: 0.61 | Angle: 78.26 | State: waiting | Reps: 0
Frame: 381 | Arm: RIGHT | Visibility: 0.63 | Angle: 84.37 | State: waiting | Reps: 0
Frame: 382 | Arm: RIGHT | Visibility: 0.62 | Angle: 102.02 | State: waiting | Reps: 0
Frame: 383 | Arm: RIGHT | Visibility: 0.61 | Angle: 125.94 | State: waiting | Reps: 0
Frame: 384 | Arm: RIGHT | Visibility: 0.58 | Angle: 135.54 | State: waiting | Reps: 0
Frame: 385 | Arm: RIGHT | Visibility: 0.59 | Angle: 139.87 | State: waiting | Reps: 0
Frame: 386 | Arm: RIGHT | Visibility: 0.55 | Angle: 161.83 | State: waiting | Reps: 0
Frame: 387 | Arm: RIGHT | Visibility: 0.53 | Angle: 166.57 | State: waiting | Reps: 0
Frame: 389 | Arm: RIGHT | Visibility: 0.48 | Angle: 170.32 | State: extended | Reps: 0
Frame: 390 | Arm: RIGHT | Visibility: 0.47 | Angle: 176.47 | State: extended | Reps: 0
Frame: 393 | Arm: RIGHT | Visibility: 0.40 | Angle: 150.0 | State: extended | Reps: 0
Frame: 394 | Arm: RIGHT | Visibility: 0.37 | Angle: 126.75 | State: extended | Reps: 0
Frame: 395 | Arm: RIGHT | Visibility: 0.35 | Angle: 101.58 | State: extended | Reps: 0
Frame: 396 | Arm: RIGHT | Visibility: 0.33 | Angle: 74.33 | State: curling | Reps: 0
Frame: 397 | Arm: RIGHT | Visibility: 0.32 | Angle: 52.03 | State: curling | Reps: 0
Frame: 398 | Arm: RIGHT | Visibility: 0.31 | Angle: 57.95 | State: curling | Reps: 0
Frame: 399 | Arm: RIGHT | Visibility: 0.30 | Angle: 63.95 | State: contracted | Reps: 0
Frame: 400 | Arm: RIGHT | Visibility: 0.29 | Angle: 88.47 | State: contracted | Reps: 0
Frame: 401 | Arm: RIGHT | Visibility: 0.27 | Angle: 114.36 | State: contracted | Reps: 0
Frame: 402 | Arm: RIGHT | Visibility: 0.25 | Angle: 133.72 | State: contracted | Reps: 0
Frame: 403 | Arm: RIGHT | Visibility: 0.24 | Angle: 150.03 | State: lowering | Reps: 0
Frame: 404 | Arm: RIGHT | Visibility: 0.22 | Angle: 166.99 | State: lowering | Reps: 0
Frame: 405 | Arm: RIGHT | Visibility: 0.20 | Angle: 162.56 | State: lowering | Reps: 0
Frame: 406 | Arm: RIGHT | Visibility: 0.18 | Angle: 154.13 | State: extended | Reps: 0
Frame: 435 | Arm: RIGHT | Visibility: 0.19 | Angle: 148.14 | State: extended | Reps: 0
Frame: 436 | Arm: RIGHT | Visibility: 0.27 | Angle: 147.62 | State: extended | Reps: 0
Frame: 437 | Arm: RIGHT | Visibility: 0.29 | Angle: 142.23 | State: extended | Reps: 0
Frame: 438 | Arm: RIGHT | Visibility: 0.34 | Angle: 141.49 | State: extended | Reps: 0
Frame: 439 | Arm: RIGHT | Visibility: 0.41 | Angle: 145.32 | State: extended | Reps: 0
