Frame: 1 | Visibility: 0.85 | Elbow Angle: 163.38 | State: up | Reps: 0
Frame: 3 | Visibility: 0.77 | Elbow Angle: 177.13 | State: up | Reps: 0
Frame: 4 | Visibility: 0.79 | Elbow Angle: 166.27 | State: up | Reps: 0
Frame: 5 | Visibility: 0.81 | Elbow Angle: 151.01 | State: up | Reps: 0
Frame: 11 | Visibility: 0.75 | Elbow Angle: 162.68 | State: up | Reps: 0
Frame: 16 | Visibility: 0.77 | Elbow Angle: 98.53 | State: descending | Reps: 0
Frame: 17 | Visibility: 0.78 | Elbow Angle: 104.87 | State: descending | Reps: 0
Frame: 18 | Visibility: 0.80 | Elbow Angle: 154.14 | State: descending | Reps: 0
Frame: 19 | Visibility: 0.81 | Elbow Angle: 134.16 | State: descending | Reps: 0
Frame: 20 | Visibility: 0.83 | Elbow Angle: 116.92 | State: descending | Reps: 0
Frame: 21 | Visibility: 0.84 | Elbow Angle: 145.11 | State: descending | Reps: 0
Frame: 22 | Visibility: 0.84 | Elbow Angle: 162.99 | State: up | Reps: 0
Frame: 23 | Visibility: 0.85 | Elbow Angle: 164.42 | State: up | Reps: 0
Frame: 24 | Visibility: 0.85 | Elbow Angle: 93.98 | State: descending | Reps: 0
Frame: 25 | Visibility: 0.86 | Elbow Angle: 89.13 | State: bottom | Reps: 0
Frame: 26 | Visibility: 0.87 | Elbow Angle: 78.6 | State: bottom | Reps: 0
Frame: 27 | Visibility: 0.88 | Elbow Angle: 69.71 | State: bottom | Reps: 0
Frame: 28 | Visibility: 0.88 | Elbow Angle: 76.74 | State: bottom | Reps: 0
Frame: 29 | Visibility: 0.89 | Elbow Angle: 65.7 | State: bottom | Reps: 0
Frame: 30 | Visibility: 0.90 | Elbow Angle: 59.8 | State: bottom | Reps: 0
Frame: 31 | Visibility: 0.91 | Elbow Angle: 60.34 | State: bottom | Reps: 0
Frame: 32 | Visibility: 0.92 | Elbow Angle: 61.76 | State: bottom | Reps: 0
Frame: 33 | Visibility: 0.93 | Elbow Angle: 63.2 | State: bottom | Reps: 0
Frame: 34 | Visibility: 0.93 | Elbow Angle: 61.04 | State: bottom | Reps: 0
Frame: 35 | Visibility: 0.94 | Elbow Angle: 61.89 | State: bottom | Reps: 0
Frame: 36 | Visibility: 0.95 | Elbow Angle: 63.4 | State: bottom | Reps: 0
Frame: 37 | Visibility: 0.95 | Elbow Angle: 77.08 | State: bottom | Reps: 0
Frame: 38 | Visibility: 0.96 | Elbow Angle: 84.82 | State: bottom | Reps: 0
Frame: 39 | Visibility: 0.96 | Elbow Angle: 84.35 | State: bottom | Reps: 0
Frame: 40 | Visibility: 0.96 | Elbow Angle: 92.04 | State: bottom | Reps: 0
Frame: 41 | Visibility: 0.97 | Elbow Angle: 89.41 | State: bottom | Reps: 0
Frame: 42 | Visibility: 0.97 | Elbow Angle: 87.67 | State: bottom | Reps: 0
Frame: 43 | Visibility: 0.97 | Elbow Angle: 90.55 | State: bottom | Reps: 0
Frame: 44 | Visibility: 0.97 | Elbow Angle: 96.65 | State: bottom | Reps: 0
Frame: 45 | Visibility: 0.98 | Elbow Angle: 109.84 | State: bottom | Reps: 0
Frame: 46 | Visibility: 0.98 | Elbow Angle: 116.37 | State: ascending | Reps: 0
Frame: 47 | Visibility: 0.98 | Elbow Angle: 123.5 | State: ascending | Reps: 0
Frame: 48 | Visibility: 0.98 | Elbow Angle: 129.74 | State: ascending | Reps: 0
Frame: 49 | Visibility: 0.98 | Elbow Angle: 139.31 | State: ascending | Reps: 0
Frame: 50 | Visibility: 0.98 | Elbow Angle: 148.2 | State: ascending | Reps: 0
Frame: 51 | Visibility: 0.98 | Elbow Angle: 154.48 | State: ascending | Reps: 0
Frame: 52 | Visibility: 0.98 | Elbow Angle: 158.27 | State: up | Reps: 1
Frame: 53 | Visibility: 0.98 | Elbow Angle: 160.22 | State: up | Reps: 1
Frame: 54 | Visibility: 0.98 | Elbow Angle: 156.18 | State: up | Reps: 1
Frame: 55 | Visibility: 0.98 | Elbow Angle: 147.15 | State: up | Reps: 1
Frame: 56 | Visibility: 0.98 | Elbow Angle: 140.45 | State: descending | Reps: 1
Frame: 57 | Visibility: 0.98 | Elbow Angle: 130.28 | State: descending | Reps: 1
Frame: 58 | Visibility: 0.98 | Elbow Angle: 121.17 | State: descending | Reps: 1
Frame: 59 | Visibility: 0.99 | Elbow Angle: 111.03 | State: descending | Reps: 1
Frame: 60 | Visibility: 0.99 | Elbow Angle: 106.65 | State: descending | Reps: 1
Frame: 61 | Visibility: 0.99 | Elbow Angle: 102.34 | State: descending | Reps: 1
Frame: 62 | Visibility: 0.99 | Elbow Angle: 101.89 | State: descending | Reps: 1
Frame: 63 | Visibility: 0.99 | Elbow Angle: 90.38 | State: bottom | Reps: 1
Frame: 64 | Visibility: 0.99 | Elbow Angle: 92.59 | State: bottom | Reps: 1
Frame: 65 | Visibility: 0.99 | Elbow Angle: 78.76 | State: bottom | Reps: 1
Frame: 66 | Visibility: 0.99 | Elbow Angle: 76.5 | State: bottom | Reps: 1
Frame: 67 | Visibility: 0.99 | Elbow Angle: 76.98 | State: bottom | Reps: 1
Frame: 68 | Visibility: 0.99 | Elbow Angle: 80.77 | State: bottom | Reps: 1
Frame: 69 | Visibility: 0.99 | Elbow Angle: 72.8 | State: bottom | Reps: 1
Frame: 70 | Visibility: 0.99 | Elbow Angle: 73.09 | State: bottom | Reps: 1
Frame: 71 | Visibility: 0.99 | Elbow Angle: 65.55 | State: bottom | Reps: 1
