Frame: 43 | Leg: RIGHT | Visibility: 0.62 | Angle: 159.4 | State: standing | Reps: 0
Frame: 44 | Leg: RIGHT | Visibility: 0.64 | Angle: 162.24 | State: standing | Reps: 0
Frame: 45 | Leg: RIGHT | Visibility: 0.66 | Angle: 170.13 | State: standing | Reps: 0
Frame: 46 | Leg: RIGHT | Visibility: 0.66 | Angle: 172.67 | State: standing | Reps: 0
Frame: 47 | Leg: RIGHT | Visibility: 0.67 | Angle: 170.71 | State: standing | Reps: 0
Frame: 48 | Leg: RIGHT | Visibility: 0.68 | Angle: 164.23 | State: standing | Reps: 0
Frame: 49 | Leg: RIGHT | Visibility: 0.68 | Angle: 162.92 | State: standing | Reps: 0
Frame: 50 | Leg: RIGHT | Visibility: 0.68 | Angle: 161.14 | State: standing | Reps: 0
Frame: 51 | Leg: RIGHT | Visibility: 0.69 | Angle: 157.42 | State: standing | Reps: 0
Frame: 52 | Leg: RIGHT | Visibility: 0.70 | Angle: 154.91 | State: descending | Reps: 0
Frame: 53 | Leg: RIGHT | Visibility: 0.71 | Angle: 153.89 | State: descending | Reps: 0
Frame: 54 | Leg: RIGHT | Visibility: 0.71 | Angle: 153.07 | State: descending | Reps: 0
Frame: 55 | Leg: RIGHT | Visibility: 0.72 | Angle: 153.98 | State: descending | Reps: 0
Frame: 56 | Leg: RIGHT | Visibility: 0.72 | Angle: 153.8 | State: descending | Reps: 0
Frame: 57 | Leg: RIGHT | Visibility: 0.72 | Angle: 156.4 | State: descending | Reps: 0
Frame: 58 | Leg: RIGHT | Visibility: 0.71 | Angle: 156.74 | State: descending | Reps: 0
Frame: 59 | Leg: RIGHT | Visibility: 0.71 | Angle: 158.18 | State: descending | Reps: 0
Frame: 60 | Leg: RIGHT | Visibility: 0.70 | Angle: 159.53 | State: descending | Reps: 0
Frame: 61 | Leg: RIGHT | Visibility: 0.70 | Angle: 162.3 | State: descending | Reps: 0
Frame: 62 | Leg: RIGHT | Visibility: 0.69 | Angle: 156.22 | State: descending | Reps: 0
Frame: 63 | Leg: RIGHT | Visibility: 0.70 | Angle: 150.32 | State: descending | Reps: 0
Frame: 64 | Leg: RIGHT | Visibility: 0.70 | Angle: 146.72 | State: descending | Reps: 0
Frame: 65 | Leg: RIGHT | Visibility: 0.70 | Angle: 143.49 | State: descending | Reps: 0
Frame: 66 | Leg: RIGHT | Visibility: 0.69 | Angle: 146.49 | State: descending | Reps: 0
Frame: 67 | Leg: RIGHT | Visibility: 0.69 | Angle: 149.59 | State: descending | Reps: 0
Frame: 68 | Leg: RIGHT | Visibility: 0.67 | Angle: 156.31 | State: descending | Reps: 0
Frame: 69 | Leg: RIGHT | Visibility: 0.65 | Angle: 160.7 | State: descending | Reps: 0
Frame: 70 | Leg: RIGHT | Visibility: 0.64 | Angle: 163.71 | State: descending | Reps: 0
Frame: 71 | Leg: RIGHT | Visibility: 0.63 | Angle: 158.05 | State: descending | Reps: 0
Frame: 72 | Leg: RIGHT | Visibility: 0.63 | Angle: 143.92 | State: descending | Reps: 0
Frame: 73 | Leg: RIGHT | Visibility: 0.63 | Angle: 150.76 | State: descending | Reps: 0
Frame: 74 | Leg: RIGHT | Visibility: 0.62 | Angle: 149.77 | State: descending | Reps: 0
Frame: 75 | Leg: RIGHT | Visibility: 0.63 | Angle: 150.08 | State: descending | Reps: 0
Frame: 76 | Leg: RIGHT | Visibility: 0.64 | Angle: 151.43 | State: descending | Reps: 0
Frame: 77 | Leg: RIGHT | Visibility: 0.65 | Angle: 147.84 | State: descending | Reps: 0
Frame: 78 | Leg: RIGHT | Visibility: 0.66 | Angle: 147.35 | State: descending | Reps: 0
Frame: 79 | Leg: RIGHT | Visibility: 0.67 | Angle: 147.17 | State: descending | Reps: 0
Frame: 80 | Leg: RIGHT | Visibility: 0.67 | Angle: 147.2 | State: descending | Reps: 0
Frame: 81 | Leg: RIGHT | Visibility: 0.68 | Angle: 147.72 | State: descending | Reps: 0
Frame: 82 | Leg: RIGHT | Visibility: 0.68 | Angle: 150.0 | State: descending | Reps: 0
Frame: 83 | Leg: RIGHT | Visibility: 0.69 | Angle: 151.69 | State: descending | Reps: 0
Frame: 84 | Leg: RIGHT | Visibility: 0.70 | Angle: 152.27 | State: descending | Reps: 0
Frame: 85 | Leg: RIGHT | Visibility: 0.70 | Angle: 153.27 | State: descending | Reps: 0
Frame: 86 | Leg: RIGHT | Visibility: 0.70 | Angle: 154.4 | State: descending | Reps: 0
Frame: 87 | Leg: RIGHT | Visibility: 0.70 | Angle: 157.09 | State: descending | Reps: 0
Frame: 88 | Leg: RIGHT | Visibility: 0.70 | Angle: 158.18 | State: descending | Reps: 0
Frame: 89 | Leg: RIGHT | Visibility: 0.69 | Angle: 158.54 | State: descending | Reps: 0
Frame: 90 | Leg: RIGHT | Visibility: 0.69 | Angle: 159.35 | State: descending | Reps: 0
Frame: 91 | Leg: RIGHT | Visibility: 0.70 | Angle: 159.4 | State: descending | Reps: 0
Frame: 92 | Leg: RIGHT | Visibility: 0.70 | Angle: 158.26 | State: descending | Reps: 0
Frame: 93 | Leg: RIGHT | Visibility: 0.69 | Angle: 158.48 | State: descending | Reps: 0
Frame: 94 | Leg: RIGHT | Visibility: 0.69 | Angle: 161.2 | State: descending | Reps: 0
Frame: 95 | Leg: RIGHT | Visibility: 0.69 | Angle: 159.24 | State: descending | Reps: 0
Frame: 96 | Leg: RIGHT | Visibility: 0.70 | Angle: 156.79 | State: descending | Reps: 0
Frame: 97 | Leg: RIGHT | Visibility: 0.71 | Angle: 157.98 | State: descending | Reps: 0
Frame: 98 | Leg: RIGHT | Visibility: 0.72 | Angle: 157.99 | State: descending | Reps: 0
Frame: 99 | Leg: RIGHT | Visibility: 0.72 | Angle: 158.07 | State: descending | Reps: 0
Frame: 100 | Leg: RIGHT | Visibility: 0.73 | Angle: 155.34 | State: descending | Reps: 0
Frame: 101 | Leg: RIGHT | Visibility: 0.73 | Angle: 153.61 | State: descending | Reps: 0
Frame: 102 | Leg: RIGHT | Visibility: 0.75 | Angle: 154.15 | State: descending | Reps: 0
Frame: 103 | Leg: RIGHT | Visibility: 0.75 | Angle: 151.87 | State: descending | Reps: 0
Frame: 104 | Leg: RIGHT | Visibility: 0.74 | Angle: 152.09 | State: descending | Reps: 0
Frame: 105 | Leg: RIGHT | Visibility: 0.75 | Angle: 156.2 | State: descending | Reps: 0
Frame: 106 | Leg: RIGHT | Visibility: 0.74 | Angle: 160.14 | State: descending | Reps: 0
Frame: 107 | Leg: RIGHT | Visibility: 0.74 | Angle: 161.97 | State: descending | Reps: 0
Frame: 108 | Leg: RIGHT | Visibility: 0.75 | Angle: 164.13 | State: descending | Reps: 0
Frame: 109 | Leg: RIGHT | Visibility: 0.75 | Angle: 163.52 | State: descending | Reps: 0
Frame: 110 | Leg: RIGHT | Visibility: 0.75 | Angle: 161.68 | State: descending | Reps: 0
Frame: 111 | Leg: RIGHT | Visibility: 0.75 | Angle: 160.66 | State: descending | Reps: 0
Frame: 112 | Leg: RIGHT | Visibility: 0.74 | Angle: 160.91 | State: descending | Reps: 0
Frame: 113 | Leg: RIGHT | Visibility: 0.72 | Angle: 159.28 | State: descending | Reps: 0
Frame: 114 | Leg: RIGHT | Visibility: 0.71 | Angle: 158.01 | State: descending | Reps: 0
Frame: 115 | Leg: RIGHT | Visibility: 0.68 | Angle: 154.34 | State: descending | Reps: 0
Frame: 116 | Leg: RIGHT | Visibility: 0.67 | Angle: 148.74 | State: descending | Reps: 0
Frame: 117 | Leg: RIGHT | Visibility: 0.64 | Angle: 138.18 | State: descending | Reps: 0
Frame: 118 | Leg: RIGHT | Visibility: 0.64 | Angle: 135.04 | State: descending | Reps: 0
